ctx_a,ctx_b,ctx,endings,id,ind,activity_label,source_id,split,split_type,label
"[header] Cum să cumpărați materialele didactice pentru profesori [title] Comunicați cu supervizorul dumneavoastră. [step] O comandă de achiziții le permite școlii dumneavoastră să știe ce achiziționați. Majoritatea școlilor vă cer să solicitați o comandă de achiziții înainte de cumpărături, mai ales dacă școala dumneavoastră vă cere să cumpărați din magazine specifice.",,"[header] Cum să cumpărați materialele didactice pentru profesori [title] Comunicați cu supervizorul dumneavoastră. [step] O comandă de achiziții le permite școlii dumneavoastră să știe ce achiziționați. Majoritatea școlilor vă cer să solicitați o comandă de achiziții înainte de cumpărături, mai ales dacă școala dumneavoastră vă cere să cumpărați din magazine specifice.","['Întotdeauna, aveți un înregistrare scrisă a achizițiilor pe care le faceți. [substeps] Școala dumneavoastră ar trebui să vă furnizeze o chitanță a comenzii de achiziții.', 'Contactați direct un profesor la școală și spuneți-le că doriți să faceți comanda de achiziții. [title] Vorbește cu directorul școlii dumneavoastră, dacă există unul.', 'Întrebați contabilul școlii dumneavoastră dacă este necesară o comandă de achiziții înainte de a începe să cumpărați materialele. Va trebui să scrieți fiecare achiziție pe comandă și să o returnați la școala dumneavoastră atunci când ați terminat de cumpărat', 'Dacă nu sunteți sigur ce puteți cumpăra, întrebați-vă profesorul. În funcție de școala dumneavoastră, s-ar putea să fiți ajutat și de directorul de școală.']",hellaswag/validation/9199,44033,Education and Communications,wikihow~72483,val,indomain,2
Oamenii stau pe dealul de zăpadă.,oameni,Oamenii stau pe dealul de zăpadă. oameni,"['lucrează într-o clădire.', 'stau în găleți pe o pătură pe deal.', 'dăruiesc zăpada de la poalele dealului.', 'merg cu snowboard-ul pe un deal de zăpadă.']",hellaswag/validation/146,2059,Skiing,activitynet~v_Nkcc9kLDQz8,val,indomain,3
"[header] Cum să ai grijă de părul blond decolorat [title] Șampoanează-te mai rar. [step] Șampoanele sunt concepute să îndepărteze murdăria și uleiurile de pe păr, dar pot, de asemenea, să îndepărteze și melanjul natural al părului. Decolorantul face același lucru, prin urmare, șamponarea zilnică nu face decât să agreseze suplimentar părul.",,"[header] Cum să ai grijă de părul blond decolorat [title] Șampoanează-te mai rar. [step] Șampoanele sunt concepute să îndepărteze murdăria și uleiurile de pe păr, dar pot, de asemenea, să îndepărteze și melanjul natural al părului. Decolorantul face același lucru, prin urmare, șamponarea zilnică nu face decât să agreseze suplimentar părul.","['Este mai bine să începeți de la rădăcină și să continuați de acolo. Adăugând mai puține produse, reduceți timpul petrecut spălând și hidratând părul și evitându-i daunele cauzate de șampon, până când părul nu mai este blond decolorat.', 'Oamenii cu păr lung și decolorat nu ar putea fi încântați să își spele și să își condiționeze părul o dată la două sau trei zile. Atunci când este posibil, desemnați o zi din săptămână pentru a vă șampona părul.', 'Gândiți-vă bine la asta înainte de a vă decolora părul, altfel riscați să cauzați mai multe daune. [substeps] Dacă doriți cu adevărat să vă păstrați părul decolorat cât mai alb posibil, șamponați mai des.', '[substeps] Spălați-vă părul la fiecare trei sau patru zile, mai ales în primele săptămâni. Cumpărați un șampon uscat delicat pentru a-l pulveriza pe rădăcini, astfel încât să puteți întinde perioada între spălări.']",hellaswag/validation/7293,30038,Personal Care and Style,wikihow~49498,val,zeroshot,3
"[header] Cum să îi ajutăm pe copii să nu se mai teamă de monștri [title] Caută monștri. [step] Întreabă-ți copilul unde crede că sunt monștrii - sub pat, în dulap, și așa mai departe. Apoi căutați monștrii împreună și arată-i copilului că nu există.",,"[header] Cum să îi ajutăm pe copii să nu se mai teamă de monștri [title] Caută monștri. [step] Întreabă-ți copilul unde crede că sunt monștrii - sub pat, în dulap, și așa mai departe. Apoi căutați monștrii împreună și arată-i copilului că nu există.","['[substeps] Nu vrei doar să spui „nu există nimic acolo; du-te să dormi” și nu vrei să încurajezi frica prin pretinderea că monștrii sunt acolo și poți să-i înlături. Cea mai bună modalitate de a aborda frica este să arăți copilului că monștrii nu sunt reali și nu au nimic de temut.', 'Evident, e mai ușor spus decât făcut, dar vei fi surprins de câți monștri există acolo. [title] Fă distanță de groază pe care copilul tău nu a mai văzut-o.', 'Dacă unii copii se tem de monștri, caută-i și tu, pentru a te distra cu ei. [substeps] Poți desena imagini ale monștrilor pe care copilul le poate urmări.', '[substeps] Oferă-ți copilului sugestii pentru ca el să se gândească la ce să caute. Ceva din propria ta copilărie te poate ajuta să-i arăți copilului exact unde sunt monștrii.']",hellaswag/validation/8356,37690,Family Life,wikihow~62087,val,zeroshot,0
[header] Cum să faci pliuri la blugi [title] Îndoiește manșeta fiecărui picior până la o lungime convenabilă. [step] Rulează manșeta fiecărui picior pentru a ajusta lungimea manșetei. Aceasta îți va da și o idee despre cum va arăta manșeta atunci când partea de rulat va fi îndepărtată.,,[header] Cum să faci pliuri la blugi [title] Îndoiește manșeta fiecărui picior până la o lungime convenabilă. [step] Rulează manșeta fiecărei piciorului de pantaloni pentru a ajusta lungimea manșetei. Aceasta îți va da și o idee despre cum va arăta manșeta atunci când partea de rulat va fi îndepărtată.,"['[substeps] Îndoiește manșeta fiecărui picior de pantaloni la 45 de grade. Aici va fi locul în care îți vei face pliurile la blugi, potrivit ghidului de lungime pentru versiunea ta de blugi skinny.', '[substeps] Poți îndoi toate picioarele pantalonilor fără a dezintegra manșeta cu un inch sau doi. Coborârea piciorului pantalonului înseamnă că trebuie să lucrezi pentru a reduce lungimea manșetei. [title] Dublează piciorul pantalonului la șold.', 'Lent, nu este nevoie să grăbești procesul. Cele mai multe magazine îți vor da o regulă de bază atunci când vine vorba de blugii mulați.', 'Folosește o bucățică de cretă albă pentru a marca partea de jos a arcului format de materialul rulat. [substeps] Poate fi util să îți pui pantalonii și să verifici lungimea într-o oglindă.']",hellaswag/validation/8745,40787,Personal Care and Style,wikihow~67085,val,zeroshot,3
Un om este așezat într-un clădiri. El cântă la tobă și talgere cu rapiditate.,el,Un om este așezat într-un clădiri. El cântă la tobă și talgere cu rapiditate. el,"['folosește un înregistrător vocal în timp ce cântă.', 'încetează să cânte și își clătește mâinile, ieșind de lângă tobe.', 'ține bețelele de tobă și le bate ușor de podea.', 'continuă să cânte pe toată durata videoclipului.']",hellaswag/validation/3121,48010,Playing drums,activitynet~v_6O5UcjQMwoQ,val,indomain,3
"Ea vorbește despre cât de diferite erau maratoanele în trecut, arătând clipuri dintr-un maraton cu cel puțin 50 de ani în urmă.",acolo,"Ea vorbește despre cât de diferite erau maratoanele în trecut, arătând clipuri dintr-un maraton cu cel puțin 50 de ani în urmă. acolo","['există și clipuri în care vorbește despre beneficiile alergării pe distanțe lungi în timp ce face respirații adânci, în timp ce fumează repetat o țigară.', 'există imagini cu participanți bărbați care domină scena, în timp ce ea este singura participanta feminină.', 'este o mică fată patinatoare roz, care poartă un costum alb de trening.', 'există și mai multe clipuri cu oameni care participă în maratoane și concursuri de la plimbări până la rafting.']",hellaswag/validation/1561,23585,Running a marathon,activitynet~v_fOGXvBAmTsY,val,zeroshot,1
"[header] Cum să stilizezi un păr gros pentru bărbați [title] Obține o coafură texturată dacă ai păr scurt și gros. [step] Părul scurt și gros care are un aspect fragmentat și texturizat în partea de sus va arăta mai stilizat decât dacă ar fi de aceeași lungime. Când ești pregătit să-l stilizezi, poți să-l tot împungi sau să-l peri pe o parte.",,"[header] Cum să stilizezi un păr gros pentru bărbați [title] Obține o coafură texturată dacă ai păr scurt și gros. [step] Părul scurt și gros care are un aspect fragmentat și texturizat în partea de sus va arăta mai stilizat decât dacă ar fi de aceeași lungime. Când ești pregătit să-l stilizezi, poți să-l tot împungi sau să-l peri pe o parte.","['[title] Optează pentru un chelie laterală dacă ai păr gros și de lungime medie. [step] Cheliile laterale sunt lungi în partea de sus și scurte pe laterale și în partea din spate a capului, astfel încât să poți avea o anumită lungime, fără ca părul tău să fie neîmblânzit sau să îți blocheze vedererea tot timpul.', '[substeps] Încearcă stilurile cu breton dat pe o parte, deoarece acestea îți vor oferi părului mai mult volum și te vor lăsa cu straturi scurte în partea de sus. Dacă poți purta un breton dat pe o parte, încearcă să îl porți cu părul drept în jos.', '[substeps] Obține suficient de mult puf și lungime astfel încat despărțitura să nu fie prea scurtă. [title] Folosește ceară, fixativ sau spumă pentru păr dacă îți place.', 'Poți face acest lucru cu ușurință cu ajutorul unui fixativ pentru păr, dacă ții o mare cantitate de păr într-o mână și îți miști brațul înainte și înapoi. [substeps] Dacă părul tău gros cade sub frunte pe laterale, s-ar putea să ai nevoie și de un difuzor pentru a-l aranja în partea din spate.']",hellaswag/validation/9840,49028,Personal Care and Style,wikihow~80704,val,zeroshot,0
Bărbatul curăță zăpada sub ștergătoarele de pe parbrizul mașinii sale. Vedem clădirea din spatele mașinii. Facem o rotație completă pentru a vedea parcarea.,bărbatul,Bărbatul curăță zăpada sub ștergătoarele de pe parbrizul mașinii sale. Vedem clădirea din spatele mașinii. Facem o rotație completă pentru a vedea parcarea. bărbatul,"['încheie și oprește ștergătoarele.', 'deschide ușile mașinii și se urcă înăuntru.', 'încheie și coboară din mașină.', 'ridică camera.']",hellaswag/validation/86,1087,Removing ice from car,activitynet~v_CJCONq_i1cQ,val,indomain,1
"[header] Cum să transformi părul uscat într-un păr sănătos [title] Manipulează-ți părul cu delicatețe atunci când îl speli și îl usuci. [step] Dacă ai păr uscat, înseamnă că ai un păr fragil. Manipularea brutală a acestuia va cauza despărțirea vârfurilor și chiar poate duce la rupere.",,"[header] Cum să transformi părul uscat într-un păr sănătos [title] Manipulează-ți părul cu delicatețe atunci când îl speli și îl usuci. [step] Dacă ai păr uscat, înseamnă că ai un păr fragil. Manipularea brutală a acestuia va cauza despărțirea vârfurilor și chiar poate duce la rupere.","['Atunci când îți speli, îți usuci și îl manipulezi în alte moduri, gândește-te la el ca la un material delicat care trebuie tratat cu o grijă suplimentară. Acest lucru înseamnă că nu trebuie să-l freci, să tragi sau să-l stoarci.', 'Folosește o plită pentru păr sau o perie plată pentru a descurca sau îndepărta cu delicatețe nodurile și alte încurcături care pot contribui la despărțirea vârfurilor. [substeps] Când îți stoarci părul cu delicatețe, poți folosi o sticlă cu pulverizator pentru a îndepărta bucăți de păr cu delicatețe.', 'Folosește un pieptene cu dinți largi pentru a separa cât mai mult din partea de sus a părului. Folosește un cap de duș pentru a evita înmuierea părului în apă.', '[substeps] Toarnă apă călduță în dușul tău înainte de a aplica balsamul. Acest lucru te va ajuta să ai o priză mai bună pe păr și să construiești umiditatea de care părul tău are nevoie în duș.']",hellaswag/validation/6561,24491,Personal Care and Style,wikihow~40386,val,zeroshot,0
